,,,,,,,,
,,Type,Start Time (sec),End Time (sec),Duration (sec),Distance (m),Velocity (m/sec),Notes
,1,Rise,21.507,26.387,4.88,0.0005,0.0001025,"Using standard of ""last time it touches line"" for this time point because I started it moving too early"
,,Fall,28.787,71.457,42.67,0.0005,0.0000117,
,2,Rise,75.767,80.111,4.344,0.0005,0.0001151,
,,Fall,88.338,123.394,35.056,0.0005,0.0000143,
,3,Rise,130.993,135.814,4.821,0.0005,0.0001037,
,,Fall,141.769,182.402,40.633,0.0005,0.0000123,
,4,Rise,191.763,196.865,5.102,0.0005,0.0000980,
,,Fall,203.542,240.774,37.232,0.0005,0.0000134,
,5,Rise,249.698,254.819,5.121,0.0005,0.0000976,
,,Fall,261.05,300.697,39.647,0.0005,0.0000126,
,6,Rise,323.837,328.856,5.019,0.0005,0.0000996,
,,Fall,335.991,372.246,36.255,0.0005,0.0000138,
New charge,,,,,,,,
,1,Rise,437.785,443.378,5.593,0.0005,0.0000894,
,,Fall,452.034,477.39,25.356,0.0005,0.0000197,
,2,Rise,484.042,489.627,5.585,0.0005,0.0000895,
,,Fall,498.169,541.312,43.143,0.0005,0.0000116,
,3,Rise,557.807,563.059,5.252,0.0005,0.0000952,
,,Fall,568.571,598.7,30.129,0.0005,0.0000166,Seemed to be blown by something near end of fall
,4,Rise,605.775,610.695,4.92,0.0005,0.0001016,
,,Fall,615.352,654.04,38.688,0.0005,0.0000129,
New charge,,,,,,,,
,1,Rise,659.938,662.299,2.361,0.0005,0.0002118,
,,Fall,673.482,706.629,33.147,0.0005,0.0000151,
,2,Rise,712.924,715.403,2.479,0.0005,0.0002017,
,,Fall,721.695,763.794,42.099,0.0005,0.0000119,"Using standard of ""last time it touches line"" for this time point because I started it moving too early"
New charge,,,,,,,,
,1,Rise,763.972,769.23,5.258,0.0005,0.0000951,
,,Fall,773.857,805.6,31.743,0.0005,0.0000158,
,2,Rise,812.21,818.182,5.972,0.0005,0.0000837,
