,,,,,,,,,,,,,
,,Type,Start Time (sec),End Time (sec),Duration (sec),,,Distance (m),Velocity (m/sec),,Thermistor Resistance (M ohm),Temperature,Voltage
,1,Fall,2:37:11,2:50:16,13,5,0.0599880024,0.0005,0.0000383,,,,
,,Rise,2:55:03,2:58:11,2,8,0.4799040192,0.0005,0.0002016,,,,
,2,Fall,3:01:11,3:15:13,14,2,0.1199760048,0.0005,0.0000354,,,,
,,Rise,3:28:01,3:31:05,3,4,0.2399520096,0.0005,0.0001543,,,,
,3,Fall,3:33:11,3:46:02,12,9,0.5398920216,0.0005,0.0000399,,,,
,,Rise,3:51:04,3:54:10,3,6,0.3599280144,0.0005,0.0001488,,,,
,4,Fall,4:01:01,4:15:12,14,11,0.6598680264,0.0005,0.0000341,,,,
,,Rise,4:19:16,4:23:07,3,9,0.5398920216,0.0005,0.0001412,,,,
,5,Fall,4:30:04,4:43:13,13,9,0.5398920216,0.0005,0.0000369,,,,
,,Rise,4:49:06,4:52:14,3,8,0.4799040192,0.0005,0.0001437,,,,
,6,Fall,4:54,5:08,14,,0,0.0005,0.0000357,,,,
,,Rise,5:13,5:17,4,,0,0.0005,0.0001250,,,,
,7,Fall,5:18,5:31,13,,0,0.0005,0.0000385,,,,
,,Rise,5:35,5:38,3,,0,0.0005,0.0001667,,,,
,8,Fall,5:39,5:54,15,,0,0.0005,0.0000333,,,,
,,Rise,5:58,6:02,4,,0,0.0005,0.0001250,,,,
,9,Fall,6:04,6:17,13,,0,0.0005,0.0000385,,,,
,,Rise,6:22,6:24,2,,0,0.0005,0.0002500,,,,
,10,Fall,6:25,6:40,15,,0,0.0005,0.0000333,,,,
,,Rise,6:44,6:46,2,,0,0.0005,0.0002500,,,,
,11,Fall,6:47,7:01,14,,0,0.0005,0.0000357,,,,
,,Rise,7:06,7:08,2,,0,0.0005,0.0002500,,,,
,Reionized droplet with different charge,,,,,,,,,,,,
,1,Fall,8:01,8:14,13,,0,0.0005,0.0000385,,,,
,,Rise,8:18,8:20,2,,0,0.0005,0.0002500,,,,
,2,Fall,8:21,8:34,13,,0,0.0005,0.0000385,,,,
,,Rise,8:39,8:40,1,,0,0.0005,0.0005000,,,,
,3,Fall,8:42,8:55,13,,0,0.0005,0.0000385,,,,
,,Rise,9:05,9:07,2,,0,0.0005,0.0002500,,,,
,4,Fall,9:08,9:21,13,,0,0.0005,0.0000385,,,,
,,Rise,9:26,9:27,1,,0,0.0005,0.0005000,,,,
,5,Fall,9:28,9:43,15,,0,0.0005,0.0000333,,,,
,,Rise,9:47,9:49,2,,0,0.0005,0.0002500,,,,
,6,Fall,9:50,10:04,14,,0,0.0005,0.0000357,,,,
,,Rise,10:09,10:10,1,,0,0.0005,0.0005000,,,,
,7,Fall,10:12,10:26,14,,0,0.0005,0.0000357,,,,
,,Rise,10:30,10:32,2,,0,0.0005,0.0002500,,,,
,8,Fall,10:33,10:46,13,,0,0.0005,0.0000385,,,,
,,Rise,10:50,10:51,1,,0,0.0005,0.0005000,,,,
,9,Fall,10:52,11:05,13,,0,0.0005,0.0000385,,,,
,,Rise,11:11,11:12,1,,0,0.0005,0.0005000,,,,
,10,Fall,11:14,11:27,13,,0,0.0005,0.0000385,,,,
,,Rise,11:32,11:34,2,,0,0.0005,0.0002500,,,,
,11,Fall,11:36,11:51,15,,0,0.0005,0.0000333,,,,
,,Rise,11:55,11:57,2,,0,0.0005,0.0002500,,,,
