,,,,,,,,,,,
,,Type,Start Time (sec),End Time (sec),Duration (sec),Distance (m),Velocity (m/sec),Notes,Thermistor Resistance (M ohm),Temperature,Voltage
,1,Fall,158.065,171.131,13.066,0.0005,0.0000383,,2.185,To be calculated,500
,,Rise,174.484,178.012,3.528,0.0005,0.0001417,,,,
,2,Fall,181.361,195.245,13.884,0.0005,0.0000360,,,,
,,Rise,206.963,210.324,3.361,0.0005,0.0001488,,,,
,3,Fall,212.625,225.423,12.798,0.0005,0.0000391,,,,
,,Rise,230.199,233.6,3.401,0.0005,0.0001470,,,,
,4,Fall,240.617,255.107,14.49,0.0005,0.0000345,,,,
,,Rise,259.072,262.501,3.429,0.0005,0.0001458,,,,
,5,Fall,269.68,283.24,13.56,0.0005,0.0000369,,,,
,,Rise,288.385,291.852,3.467,0.0005,0.0001442,,,,
,6,Fall,294.522,307.905,13.383,0.0005,0.0000374,,,,
,,Rise,312.763,316.173,3.41,0.0005,0.0001466,,,,
,7,Fall,317.732,330.485,12.753,0.0005,0.0000392,,,,
,,Rise,334.288,337.759,3.471,0.0005,0.0001441,,,,
,8,Fall,339.174,353.417,14.243,0.0005,0.0000351,,,,
,,Rise,357.741,361.261,3.52,0.0005,0.0001420,,,,
New Charge,,,,,,,,,,,
,1,Fall,363.641,377.472,13.831,0.0005,0.0000362,,,,
,,Rise,381.588,383.981,2.393,0.0005,0.0002089,,,,
,2,Fall,385.402,399.46,14.058,0.0005,0.0000356,,,,
,,Rise,403.554,405.935,2.381,0.0005,0.0002100,,,,
,3,Fall,407.171,420.64,13.469,0.0005,0.0000371,,,,
,,Rise,425.697,430.577,4.88,0.0010,0.0002049,,,,
New Charge,,,,,,,,,,,
,1,Fall,433.498,445.166,11.668,0.0005,0.0000429,,,,
,,Rise,452.84,454.331,1.491,0.0005,0.0003353,,,,
,2,Fall,459.59,472.852,13.262,0.0005,0.0000377,,,,
,,Rise,477.131,478.661,1.53,0.0005,0.0003268,,,,
,3,Fall,480.679,493.741,13.062,0.0005,0.0000383,,,,
,,Rise,497.848,499.314,1.466,0.0005,0.0003411,,,,
,4,Fall,500.595,514.248,13.653,0.0005,0.0000366,,,,
,,Rise,518.325,519.853,1.528,0.0005,0.0003272,,,,
,5,Fall,521.837,535.444,13.607,0.0005,0.0000367,,,,
,,Rise,545.018,546.597,1.579,0.0005,0.0003167,,,,
,6,Fall,548.275,561.231,12.956,0.0005,0.0000386,,,,
,,Rise,565.368,566.931,1.563,0.0005,0.0003199,,,,
,7,Fall,568.354,582.967,14.613,0.0005,0.0000342,,,,
,,Rise,587.134,588.771,1.637,0.0005,0.0003054,,,,
,8,Fall,590.143,603.706,13.563,0.0005,0.0000369,,,,
,,Rise,608.298,609.931,1.633,0.0005,0.0003062,,,,
,9,Fall,611.746,625.847,14.101,0.0005,0.0000355,,,,
,,Rise,630.138,631.769,1.631,0.0005,0.0003066,,,,
,10,Fall,633.397,645.807,12.41,0.0005,0.0000403,,,,
,,Rise,649.37,650.96,1.59,0.0005,0.0003145,,,,
,11,Fall,652.041,665.359,13.318,0.0005,0.0000375,,,,
,,Rise,670.47,671.984,1.514,0.0005,0.0003303,,,,
,12,Fall,673.894,686.993,13.099,0.0005,0.0000382,,,,
,,Rise,692.012,693.574,1.562,0.0005,0.0003201,,,,
,13,Fall,695.819,710.603,14.784,0.0005,0.0000338,,,,
,,Rise,714.713,716.326,1.613,0.0005,0.0003100,,,,
