,,,,,,,,,,,
,,Type,Start Time (sec),End Time (sec),Duration (sec),Distance (m),Velocity (m/sec),,Thermistor Resistance (M ohm),Temperature,Voltage
,1,Fall,0:30:00,0:50:00,20,0.0005,0.0000250,,,,
,,Rise,0:56:00,1:06:00,10,0.0005,0.0000500,,,,
,2,Fall,1:08:00,1:28:00,20,0.0005,0.0000250,,,,
,,Rise,1:34:00,1:45:00,11,0.0005,0.0000455,,,,
,3,Fall,1:48,2:06:00,18,0.0005,0.0000278,,,,
,,Rise,2:12:00,2:22:00,10,0.0005,0.0000500,,,,
,4,Fall,2:26:00,2:46:00,20,0.0005,0.0000250,,,,
,,Rise,2:53:00,3:02:00,9,0.0005,0.0000556,,,,
,5,Fall,3:12:00,3:35:00,23,0.0005,0.0000217,,,,
,,Rise,3:43:00,3:53:00,10,0.0005,0.0000500,,,,
,6,Fall,3:56,4:16,20,0.0005,0.0000250,,,,
,,Rise,4:24,4:33,9,0.0005,0.0000556,,,,
,7,Fall,4:36,4:55,19,0.0005,0.0000263,,,,
"lost charge, had to reionize but same charge",Reionized droplet with different charge,,,,,,,,,,
,8,Fall,6:01,6:20,19,0.0005,0.0000263,,,,
,,Rise,6:27,6:36,9,0.0005,0.0000556,,,,
,9,Fall,6:38,6:57,19,0.0005,0.0000263,,,,
,,Rise,7:03,7:13,10,0.0005,0.0000500,,,,
