,Vr,Vf,d_Vr,d_Vf,q
0,9.63e-05,3.43e-05,9.013867488e-07,3.213623567e-07,3.78723884476674
1,8.73e-05,3.3e-05,8.171817706e-07,3.092987906e-07,3.4076704666385873
2,9.07e-05,3.42e-05,8.492106696e-07,3.199343724e-07,3.6155412882084867
3,9.04e-05,3.56e-05,8.461399385e-07,3.330012808e-07,3.737027125043922
4,8.85e-05,3.22e-05,8.28611898e-07,3.014104463e-07,3.3682975882585757
5,8.8e-05,3.32e-05,8.23943662e-07,3.103859928e-07,3.4457997294645932
6,0.0001018,3.53e-05,9.531568228e-07,3.30415137e-07,4.0454975016177
7,0.0001124,3.06e-05,1.05192178e-06,2.863786562e-07,3.8682787991614025
8,9.72e-05,3.56e-05,9.101516919e-07,3.329065301e-07,3.9387079540145473
9,8.94e-05,3.37e-05,8.372093023e-07,3.153851338e-07,3.5317403566841166
10,0.0001538,3.01e-05,1.44e-06,2.815884477e-07,4.92469424720424
11,7.76e-05,3.57e-05,7.259190321e-07,3.342857143e-07,3.3660573318447202
12,0.000102,3.4e-05,9.545176423e-07,3.182374541e-07,3.922881379006735
13,9.15e-05,3.16e-05,8.562019759e-07,2.954172453e-07,3.3960832999966897
14,8.9e-05,2.98e-05,8.331849742e-07,2.785880112e-07,3.161878209138273
15,9.32e-05,3.21e-05,8.721580321e-07,3.003465537e-07,3.490043437902364
16,8.94e-05,3.21e-05,8.3705956e-07,3.007905392e-07,3.3842001413019727
17,9.06e-05,3.37e-05,8.479797065e-07,3.153426319e-07,3.5661683699093074
18,0.0001151,1.17e-05,1.077348066e-06,1.096789313e-07,1.8469672402314024
19,0.0001037,1.43e-05,9.707529558e-07,1.335006846e-07,1.966968809954383
20,9.8e-05,1.23e-05,9.172873383e-07,1.151773189e-07,1.6620859511515251
21,9.76e-05,1.34e-05,9.13884007e-07,1.25698324e-07,1.7718432668383641
22,9.96e-05,1.26e-05,9.324566647e-07,1.180417182e-07,1.7184562670103571
23,8.95e-05,1.97e-05,8.379588183e-07,1.84571699e-07,2.2426982398797475
24,9.52e-05,1.16e-05,8.910891089e-07,1.08476462e-07,1.5465782741583032
25,0.0001016,1.66e-05,9.512195122e-07,1.553320721e-07,2.1734170625207163
26,0.0002017,1.51e-05,1.887858007e-06,1.411892479e-07,3.7464031216110416
27,8.37e-05,1.58e-05,7.836570663e-07,1.4743408e-07,1.771415112651508
28,0.0001417,3.83e-05,1.326530612e-06,3.581815399e-07,5.578914453284119
29,0.0001488,3.6e-05,1.392442725e-06,3.370786517e-07,5.518078731912441
30,0.000147,3.91e-05,1.376065863e-06,3.656821378e-07,5.839955773727113
31,0.0001458,3.45e-05,1.364829396e-06,3.229813665e-07,5.246929458136346
32,0.0001442,3.69e-05,1.349870205e-06,3.451327434e-07,5.488708602974971
33,0.0001466,3.74e-05,1.372434018e-06,3.496973773e-07,5.621965285489601
34,0.0001441,3.92e-05,1.348314607e-06,3.669724771e-07,5.760902131986922
35,0.000142,3.51e-05,1.329545455e-06,3.285824616e-07,5.207878081523692
36,0.0002089,3.62e-05,1.955704137e-06,3.383703275e-07,7.343128419602492
37,0.00021,3.56e-05,1.965560689e-06,3.329065301e-07,7.284236999291962
38,0.0002049,3.71e-05,9.590163934e-07,3.474645482e-07,7.358354434888193
39,0.0003353,4.29e-05,3.138832998e-06,4.010970175e-07,12.544048545552014
40,0.0003268,3.77e-05,3.058823529e-06,3.528879505e-07,11.1906327477409
41,0.0003411,3.83e-05,3.192360164e-06,3.582912265e-07,11.759111908755528
42,0.0003272,3.66e-05,3.062827225e-06,3.427818062e-07,10.971811647469957
43,0.0003167,3.67e-05,2.963901203e-06,3.439406188e-07,10.675699055327978
44,0.0003199,3.86e-05,2.994241843e-06,3.612225996e-07,11.163496938090388
45,0.0003054,3.42e-05,2.85888821e-06,3.202627797e-07,9.830567025425156
46,0.0003062,3.69e-05,2.865890998e-06,3.450564035e-07,10.398541809391013
47,0.0003066,3.55e-05,2.869405273e-06,3.318913552e-07,10.129094840614751
48,0.0003145,4.03e-05,2.943396226e-06,3.771152297e-07,11.33720735645122
49,0.0003303,3.75e-05,3.091149273e-06,3.514041147e-07,11.255885398146859
50,0.0003201,3.82e-05,2.996158771e-06,3.572791816e-07,11.087718745865168
51,0.00031,3.38e-05,2.901425914e-06,3.165584416e-07,9.881380180283267
52,5e-05,2.5e-05,2.34e-06,1.17e-06,1.7905369043167076
53,4.55e-05,2.5e-05,2.127272727e-06,1.17e-06,1.6831046900577056
54,5e-05,2.78e-05,2.34e-06,1.3e-06,1.983945562057506
55,5.56e-05,2.5e-05,2.6e-06,1.17e-06,1.9242303265056886
56,5e-05,2.17e-05,2.34e-06,1.017391304e-06,1.5660062460535167
57,5.56e-05,2.5e-05,2.6e-06,1.17e-06,1.9242303265056886
58,5.56e-05,2.63e-05,2.6e-06,1.231578947e-06,2.0179619910633755
59,5e-05,2.63e-05,2.34e-06,1.231578947e-06,1.8799816839821188
60,7.14e-05,3.85e-05,3.342857143e-06,1.8e-06,3.416903637945709
61,7.14e-05,4.17e-05,3.342857143e-06,1.95e-06,3.688420768229333
62,7.14e-05,4.17e-05,3.342857143e-06,1.95e-06,3.688420768229333
63,6.25e-05,4.17e-05,2.925e-06,1.95e-06,3.398173687440287
64,6.25e-05,3.85e-05,2.925e-06,1.8e-06,3.140193516219442
65,6.25e-05,3.85e-05,2.925e-06,1.8e-06,3.140193516219442
66,6.25e-05,4.55e-05,2.925e-06,2.127272727e-06,3.709430163619948
67,7.14e-05,4.55e-05,3.342857143e-06,2.127272727e-06,4.015114686362703
68,6.25e-05,4.17e-05,2.925e-06,1.95e-06,3.398173687440287
69,6.25e-05,4.17e-05,2.925e-06,1.95e-06,3.398173687440287
70,7.14e-05,4.17e-05,3.342857143e-06,1.95e-06,3.688420768229333
71,7.14e-05,4.55e-05,3.342857143e-06,2.127272727e-06,4.015114686362703
72,6.25e-05,3.85e-05,2.925e-06,1.8e-06,3.140193516219442
73,0.00025,7.14e-05,1.17e-05,3.342857143e-06,14.352502607551537
74,0.0002016,3.83e-05,1.17e-05,1.8e-06,7.435453207460334
75,0.0001543,3.54e-05,7.8e-06,1.671428571e-06,5.607179913859337
76,0.0001488,3.99e-05,7.8e-06,1.95e-06,5.993811428725705
77,0.0001412,3.41e-05,7.8e-06,1.671428571e-06,5.065493060195045
78,0.0001437,3.69e-05,7.8e-06,1.8e-06,5.473554796782327
79,0.000125,3.57e-05,5.85e-06,1.671428571e-06,4.774275491857428
80,0.0001667,3.85e-05,7.8e-06,1.8e-06,6.379878312160687
81,0.000125,3.33e-05,5.85e-06,1.56e-06,4.508812077262413
82,0.00025,3.85e-05,1.17e-05,1.8e-06,8.9697606874189
83,0.00025,3.33e-05,1.17e-05,1.56e-06,8.069150104159457
84,0.00025,3.57e-05,1.17e-05,1.671428571e-06,8.487930977123007
85,0.00025,3.85e-05,1.17e-05,1.8e-06,8.9697606874189
86,0.0005,3.85e-05,2.34e-05,1.8e-06,16.742516915684845
87,0.00025,3.85e-05,1.17e-05,1.8e-06,8.9697606874189
88,0.0005,3.85e-05,2.34e-05,1.8e-06,16.742516915684845
89,0.00025,3.33e-05,1.17e-05,1.56e-06,8.069150104159457
90,0.0005,3.57e-05,2.34e-05,1.671428571e-06,15.915241947654167
91,0.00025,3.57e-05,1.17e-05,1.671428571e-06,8.487930977123007
92,0.0005,3.85e-05,2.34e-05,1.8e-06,16.742516915684845
93,0.0005,3.85e-05,2.34e-05,1.8e-06,16.742516915684845
94,0.00025,3.85e-05,1.17e-05,1.8e-06,8.9697606874189
95,0.00025,3.33e-05,1.17e-05,1.56e-06,8.069150104159457
