Type,Duration (sec),Distance (m),Velocity (m/s),dt,dx,dv
Fall,14.563,0.0005,0.0000343,0.23988,0.00000468,0.0000003213623567
Rise,5.192,0.0005,0.0000963,0.23988,0.00000468,0.0000009013867488
Fall,15.131,0.0005,0.0000330,0.23988,0.00000468,0.0000003092987906
Rise,5.727,0.0005,0.0000873,0.23988,0.00000468,0.0000008171817706
Fall,14.628,0.0005,0.0000342,0.23988,0.00000468,0.0000003199343724
Rise,5.511,0.0005,0.0000907,0.23988,0.00000468,0.0000008492106696
Fall,14.054,0.0005,0.0000356,0.23988,0.00000468,0.0000003330012808
Rise,5.531,0.0005,0.0000904,0.23988,0.00000468,0.0000008461399385
Fall,15.527,0.0005,0.0000322,0.23988,0.00000468,0.0000003014104463
Rise,5.648,0.0005,0.0000885,0.23988,0.00000468,0.000000828611898
Fall,15.078,0.0005,0.0000332,0.23988,0.00000468,0.0000003103859928
Rise,5.68,0.0005,0.0000880,0.23988,0.00000468,0.000000823943662
Fall,14.164,0.0005,0.0000353,0.23988,0.00000468,0.000000330415137
Rise,4.91,0.0005,0.0001018,0.23988,0.00000468,0.0000009531568228
Fall,16.342,0.0005,0.0000306,0.23988,0.00000468,0.0000002863786562
Rise,4.449,0.0005,0.0001124,0.23988,0.00000468,0.00000105192178
Fall,14.058,0.0005,0.0000356,0.23988,0.00000468,0.0000003329065301
Rise,5.142,0.0005,0.0000972,0.23988,0.00000468,0.0000009101516919
Fall,14.839,0.0005,0.0000337,0.23988,0.00000468,0.0000003153851338
Rise,5.59,0.0005,0.0000894,0.23988,0.00000468,0.0000008372093023
Fall,16.62,0.0005,0.0000301,0.23988,0.00000468,0.0000002815884477
Rise,3.25,0.0005,0.0001538,0.23988,0.00000468,0.00000144
Fall,14,0.0005,0.0000357,0.23988,0.00000468,0.0000003342857143
Rise,6.447,0.0005,0.0000776,0.23988,0.00000468,0.0000007259190321
Fall,14.706,0.0005,0.0000340,0.23988,0.00000468,0.0000003182374541
Rise,4.903,0.0005,0.0001020,0.11994,0.00000468,0.0000009545176423
Fall,15.842,0.0005,0.0000316,0.11994,0.00000468,0.0000002954172453
Rise,5.466,0.0005,0.0000915,0.11994,0.00000468,0.0000008562019759
Fall,16.799,0.0005,0.0000298,0.11994,0.00000468,0.0000002785880112
Rise,5.617,0.0005,0.0000890,0.11994,0.00000468,0.0000008331849742
Fall,15.582,0.0005,0.0000321,0.11994,0.00000468,0.0000003003465537
Rise,5.366,0.0005,0.0000932,0.11994,0.00000468,0.0000008721580321
Fall,15.559,0.0005,0.0000321,0.11994,0.00000468,0.0000003007905392
Rise,5.591,0.0005,0.0000894,0.11994,0.00000468,0.00000083705956
Fall,14.841,0.0005,0.0000337,0.11994,0.00000468,0.0000003153426319
Rise,5.519,0.0005,0.0000906,0.11994,0.00000468,0.0000008479797065
Fall,42.67,0.0005,0.0000117,0.11994,0.00000468,0.0000001096789313
Rise,4.344,0.0005,0.0001151,0.11994,0.00000468,0.000001077348066
Fall,35.056,0.0005,0.0000143,0.11994,0.00000468,0.0000001335006846
Rise,4.821,0.0005,0.0001037,0.11994,0.00000468,0.0000009707529558
Fall,40.633,0.0005,0.0000123,0.11994,0.00000468,0.0000001151773189
Rise,5.102,0.0005,0.0000980,0.11994,0.00000468,0.0000009172873383
Fall,37.232,0.0005,0.0000134,0.11994,0.00000468,0.000000125698324
Rise,5.121,0.0005,0.0000976,0.11994,0.00000468,0.000000913884007
Fall,39.647,0.0005,0.0000126,0.11994,0.00000468,0.0000001180417182
Rise,5.019,0.0005,0.0000996,0.11994,0.00000468,0.0000009324566647
Fall,25.356,0.0005,0.0000197,0.11994,0.00000468,0.000000184571699
Rise,5.585,0.0005,0.0000895,0.11994,0.00000468,0.0000008379588183
Fall,43.143,0.0005,0.0000116,0.11994,0.00000468,0.000000108476462
Rise,5.252,0.0005,0.0000952,0.11994,0.00000468,0.0000008910891089
Fall,30.129,0.0005,0.0000166,0.11994,0.00000468,0.0000001553320721
Rise,4.92,0.0005,0.0001016,0.11994,0.00000468,0.0000009512195122
Fall,33.147,0.0005,0.0000151,0.11994,0.00000468,0.0000001411892479
Rise,2.479,0.0005,0.0002017,0.11994,0.00000468,0.000001887858007
Fall,31.743,0.0005,0.0000158,0.11994,0.00000468,0.00000014743408
Rise,5.972,0.0005,0.0000837,0.11994,0.00000468,0.0000007836570663
Fall,13.066,0.0005,0.0000383,0.11994,0.00000468,0.0000003581815399
Rise,3.528,0.0005,0.0001417,0.11994,0.00000468,0.000001326530612
Fall,13.884,0.0005,0.0000360,0.11994,0.00000468,0.0000003370786517
Rise,3.361,0.0005,0.0001488,0.11994,0.00000468,0.000001392442725
Fall,12.798,0.0005,0.0000391,0.11994,0.00000468,0.0000003656821378
Rise,3.401,0.0005,0.0001470,0.11994,0.00000468,0.000001376065863
Fall,14.49,0.0005,0.0000345,0.11994,0.00000468,0.0000003229813665
Rise,3.429,0.0005,0.0001458,0.11994,0.00000468,0.000001364829396
Fall,13.56,0.0005,0.0000369,0.11994,0.00000468,0.0000003451327434
Rise,3.467,0.0005,0.0001442,0.11994,0.00000468,0.000001349870205
Fall,13.383,0.0005,0.0000374,0.11994,0.00000468,0.0000003496973773
Rise,3.41,0.0005,0.0001466,0.11994,0.00000468,0.000001372434018
Fall,12.753,0.0005,0.0000392,0.11994,0.00000468,0.0000003669724771
Rise,3.471,0.0005,0.0001441,0.11994,0.00000468,0.000001348314607
Fall,14.243,0.0005,0.0000351,0.11994,0.00000468,0.0000003285824616
Rise,3.52,0.0005,0.0001420,0.11994,0.00000468,0.000001329545455
Fall,13.831,0.0005,0.0000362,0.11994,0.00000468,0.0000003383703275
Rise,2.393,0.0005,0.0002089,0.11994,0.00000468,0.000001955704137
Fall,14.058,0.0005,0.0000356,0.11994,0.00000468,0.0000003329065301
Rise,2.381,0.0005,0.0002100,0.11994,0.00000468,0.000001965560689
Fall,13.469,0.0005,0.0000371,0.11994,0.00000468,0.0000003474645482
Rise,4.88,0.0005,0.0002049,0.11994,0.00000468,0.0000009590163934
Fall,11.668,0.0005,0.0000429,0.11994,0.00000468,0.0000004010970175
Rise,1.491,0.0005,0.0003353,0.11994,0.00000468,0.000003138832998
Fall,13.262,0.0005,0.0000377,0.11994,0.00000468,0.0000003528879505
Rise,1.53,0.0005,0.0003268,0.11994,0.00000468,0.000003058823529
Fall,13.062,0.0005,0.0000383,0.11994,0.00000468,0.0000003582912265
Rise,1.466,0.0005,0.0003411,0.11994,0.00000468,0.000003192360164
Fall,13.653,0.0005,0.0000366,0.11994,0.00000468,0.0000003427818062
Rise,1.528,0.0005,0.0003272,0.11994,0.00000468,0.000003062827225
Fall,13.607,0.0005,0.0000367,0.11994,0.00000468,0.0000003439406188
Rise,1.579,0.0005,0.0003167,0.11994,0.00000468,0.000002963901203
Fall,12.956,0.0005,0.0000386,0.11994,0.00000468,0.0000003612225996
Rise,1.563,0.0005,0.0003199,0.11994,0.00000468,0.000002994241843
Fall,14.613,0.0005,0.0000342,0.11994,0.00000468,0.0000003202627797
Rise,1.637,0.0005,0.0003054,0.11994,0.00000468,0.00000285888821
Fall,13.563,0.0005,0.0000369,0.11994,0.00000468,0.0000003450564035
Rise,1.633,0.0005,0.0003062,0.11994,0.00000468,0.000002865890998
Fall,14.101,0.0005,0.0000355,0.11994,0.00000468,0.0000003318913552
Rise,1.631,0.0005,0.0003066,0.11994,0.00000468,0.000002869405273
Fall,12.41,0.0005,0.0000403,0.11994,0.00000468,0.0000003771152297
Rise,1.59,0.0005,0.0003145,0.11994,0.00000468,0.000002943396226
Fall,13.318,0.0005,0.0000375,0.11994,0.00000468,0.0000003514041147
Rise,1.514,0.0005,0.0003303,0.11994,0.00000468,0.000003091149273
Fall,13.099,0.0005,0.0000382,0.11994,0.00000468,0.0000003572791816
Rise,1.562,0.0005,0.0003201,0.11994,0.00000468,0.000002996158771
Fall,14.784,0.0005,0.0000338,0.11994,0.00000468,0.0000003165584416
Rise,1.613,0.0005,0.0003100,0.11994,0.00000468,0.000002901425914
Fall,20,0.0005,0.0000250,1,0.0000234,0.00000117
Rise,10,0.0005,0.0000500,1,0.0000234,0.00000234
Fall,20,0.0005,0.0000250,1,0.0000234,0.00000117
Rise,11,0.0005,0.0000455,1,0.0000234,0.000002127272727
Fall,18,0.0005,0.0000278,1,0.0000234,0.0000013
Rise,10,0.0005,0.0000500,1,0.0000234,0.00000234
Fall,20,0.0005,0.0000250,1,0.0000234,0.00000117
Rise,9,0.0005,0.0000556,1,0.0000234,0.0000026
Fall,23,0.0005,0.0000217,1,0.0000234,0.000001017391304
Rise,10,0.0005,0.0000500,1,0.0000234,0.00000234
Fall,20,0.0005,0.0000250,1,0.0000234,0.00000117
Rise,9,0.0005,0.0000556,1,0.0000234,0.0000026
Fall,19,0.0005,0.0000263,1,0.0000234,0.000001231578947
Rise,9,0.0005,0.0000556,1,0.0000234,0.0000026
Fall,19,0.0005,0.0000263,1,0.0000234,0.000001231578947
Rise,10,0.0005,0.0000500,1,0.0000234,0.00000234
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,7,0.0005,0.0000714,1,0.0000234,0.000003342857143
Fall,12,0.0005,0.0000417,1,0.0000234,0.00000195
Rise,7,0.0005,0.0000714,1,0.0000234,0.000003342857143
Fall,12,0.0005,0.0000417,1,0.0000234,0.00000195
Rise,7,0.0005,0.0000714,1,0.0000234,0.000003342857143
Fall,12,0.0005,0.0000417,1,0.0000234,0.00000195
Rise,8,0.0005,0.0000625,1,0.0000234,0.000002925
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,8,0.0005,0.0000625,1,0.0000234,0.000002925
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,8,0.0005,0.0000625,1,0.0000234,0.000002925
Fall,11,0.0005,0.0000455,1,0.0000234,0.000002127272727
Rise,8,0.0005,0.0000625,1,0.0000234,0.000002925
Fall,11,0.0005,0.0000455,1,0.0000234,0.000002127272727
Rise,7,0.0005,0.0000714,1,0.0000234,0.000003342857143
Fall,12,0.0005,0.0000417,1,0.0000234,0.00000195
Rise,8,0.0005,0.0000625,1,0.0000234,0.000002925
Fall,12,0.0005,0.0000417,1,0.0000234,0.00000195
Rise,8,0.0005,0.0000625,1,0.0000234,0.000002925
Fall,12,0.0005,0.0000417,1,0.0000234,0.00000195
Rise,7,0.0005,0.0000714,1,0.0000234,0.000003342857143
Fall,11,0.0005,0.0000455,1,0.0000234,0.000002127272727
Rise,7,0.0005,0.0000714,1,0.0000234,0.000003342857143
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,8,0.0005,0.0000625,1,0.0000234,0.000002925
Fall,7,0.0005,0.0000714,1,0.0000234,0.000003342857143
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,13,0.0005,0.0000383,1,0.0000234,0.0000018
Rise,2,0.0005,0.0002016,1,0.0000234,0.0000117
Fall,14,0.0005,0.0000354,1,0.0000234,0.000001671428571
Rise,3,0.0005,0.0001543,1,0.0000234,0.0000078
Fall,12,0.0005,0.0000399,1,0.0000234,0.00000195
Rise,3,0.0005,0.0001488,1,0.0000234,0.0000078
Fall,14,0.0005,0.0000341,1,0.0000234,0.000001671428571
Rise,3,0.0005,0.0001412,1,0.0000234,0.0000078
Fall,13,0.0005,0.0000369,1,0.0000234,0.0000018
Rise,3,0.0005,0.0001437,1,0.0000234,0.0000078
Fall,14,0.0005,0.0000357,1,0.0000234,0.000001671428571
Rise,4,0.0005,0.0001250,1,0.0000234,0.00000585
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,3,0.0005,0.0001667,1,0.0000234,0.0000078
Fall,15,0.0005,0.0000333,1,0.0000234,0.00000156
Rise,4,0.0005,0.0001250,1,0.0000234,0.00000585
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,15,0.0005,0.0000333,1,0.0000234,0.00000156
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,14,0.0005,0.0000357,1,0.0000234,0.000001671428571
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,1,0.0005,0.0005000,1,0.0000234,0.0000234
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,1,0.0005,0.0005000,1,0.0000234,0.0000234
Fall,15,0.0005,0.0000333,1,0.0000234,0.00000156
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,14,0.0005,0.0000357,1,0.0000234,0.000001671428571
Rise,1,0.0005,0.0005000,1,0.0000234,0.0000234
Fall,14,0.0005,0.0000357,1,0.0000234,0.000001671428571
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,1,0.0005,0.0005000,1,0.0000234,0.0000234
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,1,0.0005,0.0005000,1,0.0000234,0.0000234
Fall,13,0.0005,0.0000385,1,0.0000234,0.0000018
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
Fall,15,0.0005,0.0000333,1,0.0000234,0.00000156
Rise,2,0.0005,0.0002500,1,0.0000234,0.0000117
